device,count
"grant7-b-sw1",2
"grant9-b-sw1",2
"grays-b-sw1",2
"greenleaf-b-sw1",2
"greenough-b-sw.fas",2
"griswold-3-sw.law",2
"griswold-b-sw.law",2
gsdgw1,2
gsesw1,2
"gund-1-sw1",2
"gund-1-sw2",2
"gund-2-admin-sw1",2
"gund-2-studio-sw1",2
"gund-3-admin-sw1",2
"gund-3-studio-sw1",2
"gund-3-studio-sw2",2
"gund-4-studio-sw1",2
"gund-4-studio-sw2",2
"gund-5-admin-sw1",2
"gund-5-admin-sw2",2
"gund-5-server-sw1",2
"gund-5-server-sw2",2
"gund-5-server-sw3",2
"gund-5-server-sw4",2
"gund-b-l41-sw1",2
"gund-b-l41-sw2",2
"gund-b-sw1",2
"gund-b-sw2",2
"gutman-1-sw1",2
"gutman-2-sw1",2
"gutman-3-server-backups-sw1",2
"gutman-3-server-iscsi-sw1",2
"gutman-3-server-sw1",2
"gutman-3-server-sw2",2
"gutman-3-sw1",2
"gutman-3a-sw1",2
"gutman-3c-sw1",2
"gutman-3d-sw1",2
"gutman-3e-sw1",2
"gutman-4-sw1",2
"gutman-mdf-sw2",2
"hampden-b-sw1.fas",2
"harkness-b-sw.law",2
"harvard-b-sw.fas",2
"hastings-b-sw.law",2
"hastypud-l1-sw.fas",2
"hauser-3-sw.law",2
"hdep-1-sw1",2
"hemenway-b-sw.fas",2
"herbaria-2-sw.fas",2
"herbaria-b-sw.fas",2
"hfc-2-scamera-sw1",2
"hfc-2-sw1",2
"hfc-3-sw1",2
"hfc-mdf-sw1",2
"hfc-scamera-sw1",2
"hillel-b-sw1",2
"hilles-bm-sw.fas",2
"hilles-ll-2-sw.fas",2
"hilles-ll-sw.fas",2
"hingham28-b-sw1",2
"hks-sum1-hpilo-sw1",2
"hks-sum1-nexus-sw1",2
"hks-sum1-nexus-sw2",2
"hks-sum1-sw1",2
hkscoresw1,2
"hlk-10-n-sw1",2
"hlk-3-n-sw2",2
"hlk-4-n-sw1",2
"hlk-5-n-sw1",2
"hlk-5-n-sw2",2
"hlk-6-n-sw1",2
"hlk-7-n-sw1",2
"hlk-7-s-sw1",2
"hlk-7-s-sw2",2
"hlk-7-s-sw3",2
"hlk-7-s-sw4",2
"hlk-7-s-sw5",2
"hlk-8-n-sw1",2
"hlk-869-sw1",2
"hlk-9-n-sw1",2
"hlk-bsmt-sw1",2
"hlk-info-mezz-sw1",2
"hlk-mez-sw1",2
"hlk-rm561-sw1",2
hlkgw1,2
"hlksubstation-sw1",2
"hoffman-b-2-sw.fas",2
"hoffman-b-sw.fas",2
"holden-1-sw1",2
"hollis-b-sw1",2
"holmes-b-sw.fas",2
"holmeshall-1-sw.law",2
"holworthy-b-sw.fas",2
"holyoke-10-sw.fas",2
"holyoke-3n-sw.fas",2
"holyoke-4n-sw.fas",2
"holyoke-7s-sw.fas",2
"holyoke-a-sw.fas",2
"holyoke17-1-sw.fas",2
"holyoke7-1-sw1",2
"houghton-b-sw.fas",2
"hup-2-e-sw1",2
"hup-2-w-sw1",2
"hup-mdf-sw1",2
"hup-server-sw1",2
"ils-b-sw.law",2
"innerbelt200-4-sw.fas",2
"itsec-rack-d-bs-a1-sw1",2
"itsec-rack-d-bs-b1-sw1",2
"itsec-sum1-rack14-bs-a1-sw1",2
"itsec-sum1-rack14-bs-b1-sw1",2
"jefferson-3-2-sw.fas",2
"jewett-b-sw1",2
"jfk60-b-sw.fas",2
"jordan-pb-sw1",2
"jordann-b-sw.fas",2
"jordans-b-sw.fas",2
"kirkland34-b-sw.fas",2
"kirkland38-b-sw.fas",2
"kirkland40-b-sw1",2
"kirkland42-b-sw1",2
"kirkland61-b-sw.fas",2
"kirkland9-b-sw.fas",2
"lamont-4-sw.fas",2
"lamont-a-sw.fas",2
"lamont-b-sw.fas",2
"lamont-d-sw.fas",2
landgw1,2
"langdell-1-sw.law",2
"langdell-1n-sw.law",2
"langdell-1s-sw.law",2
"langdell-2-sw.law",2
"langdell-3-sw.law",2
"larsen-8-sw1",2
"larsen-b-g08-sw1",2
"larsen-mdf-sw1",2
"laspau-2-sw1",2
"lehman-3-sw1",2
"leverett-f6-sw1",2
"leverett-g6-sw1",2
"leverett-gb-sw1",2
"leverett-lib-sw1",2
"link-2-sw.fas",2
"lionel-b-sw1",2
"lise-5-2-sw.fas",2
"lise-5-sw.fas",2
"lise-b1-1-sw.fas",2
"lise-b1-2-sw.fas",2
"lise-g1-sw.fas",2
"litt-ge-1-sw.fas",2
"litt-ge-2-sw.fas",2
"litt-gw-sw.fas",2
"littauer-2-sw1",2
"littauer-3-sw1",2
"littauer-3-sw2",2
"littauer-g34-sw1",2
"littauer-mg26-sw1",2
"littauer-mg26-sw2",2
lmagw1,2
lmagw2,2
lmasw1,2
"loeb-b-sw1",2
"loeb-cabot-sw1",2
"long260-1-sw1",2
"longfellow-2-e-sw1",2
"longfellow-2-w-sw1",2
"longfellow-b-s-sw1",2
"longfellow-mdf-sw1",2
"longfw-radfdf-sw1",2
"lowell-bb-sw.fas",2
"lowell-bh-sw.fas",2
"lowell-bi-sw.fas",2
"lowell-bn-sw.fas",2
"lowell-idf-b-sw1",2
"lowellhall-mdf-sw1",2
"lowlect-b-sw.fas",2
"lsc-3-sw.law",2
"lts-nexus-sw1",2
"lts-nexus-sw2",2
"lyman-1-sw.fas",2
"lyman-5-sw.fas",2
"lyman-5-sw2.fas",2
"lyman-b-sw.fas",2
ma1033gw1,2
"malkin-b-sw1",2
"mallin-1-sw.fas",2
"mallin-a-sw.fas",2
"mallin-bw-sw.fas",2
"mallin-sb-sw.fas",2
"mass-2-sw.fas",2
"mass1033-2-sw1",2
"mass1033-2-sw2",2
"mass1033-2-sw3",2
"mass1033-3-sw1",2
"mass1033-4-sw1",2
"mass1033-4-sw2",2
"mass1033-5-sw.fas",2
"mass1033-5-sw1",2
"mass1033-b-sw.fas",2
"mass1033-m-sw1",2
"mass1414-3-1-sw.fas",2
"mass1414-3-2-sw.fas",2
"mass1414-3-3-sw.fas",2
"mass1414-3-4-sw.fas",2
"mass1414-forensic-sw1.fas",2
"mass1414-lab-sw.fas",2
"mass1414-security-sw1.fas",2
"mass1430-4-sw.fas",2
"mass1430-6-sw.fas",2
"mass1637-b-sw.law",2
"mass1705-b-sw.fas",2
"mass625-1-sw.fas",2
"mass625-3-sw.fas",2
"mass625-bw-sw.fas",2
"masshall-2-sw1",2
"masshall-b-sw1",2
"mather-10-sw1",2
"mather-15-sw1",2
"mather-5-sw1",2
"mather-ba-sw1",2
"mather-bb-sw1",2
"mather-bc-sw1",2
"mather-bd-sw1",2
"mather-mdf-sw1",2
"matthews-n-sw.fas",2
"matthews-s-sw1",2
"maxdwork-1-sw.fas",2
"maxdwork-2-1-sw.fas",2
"maxdwork-2-2-sw.fas",2
"maxdwork-3-sw.fas",2
"maxdwork-b-1-sw.fas",2
"maxdwork-b-2-sw.fas",2
"maxdwork-g124-sw.fas",2
"mckay-2-sw.fas",2
"mckay-3-sw.fas",2
"mckay-4-sw.fas",2
"mckay-5-sw.fas",2
"mckinlock-b-sw1",2
"mckinlock-ba-sw1",2
"mckinlock-be-sw1",2
"mcz-4-sw.fas",2
"mcz-be-sw.fas",2
"mcz-bs-sw.fas",2
"mczlabs-b-1-sw.fas",2
"mczlabs-b-2-sw.fas",2
"mdf-boylston-b-sw.fas",2
"mdf-brattle51-6-sw.fas",2
"mdf-canaday-bb-sw.fas",2
"mdf-dunster-bk-sw.fas",2
"mdf-eliot-bf-sw.fas",2
"mdf-gore-b-sw.fas",2
"mdf-hastings-1-sw.law",2
"mdf-innerbelt200-2-sw.fas",2
"mdf-lamont-b-sw.fas",2
"mdf-leverett-fb-sw.fas",2
"mdf-lise-m1-sw.fas",2
"mdf-mass625-b-sw.fas",2
"mdf-mather-bm-sw.fas",2
"mdf-maxdwork-b-sw.fas",2
"mdf-mckay-b-sw.fas",2
"mdf-mckinlock-b-sw.fas",2
"mdf-northhall-b-sw.law",2
"mdf-nwlab-b1n-sw.fas",2
"mdf-paine-b-sw.fas",2
